prime_mover,rowid,CHP_fixed_adj,CHP_variable_adj,age_fixed_adj,age_obs_fixed_adj,age_obs_variable_adj,age_variable_adj,capacity_adj,duct_burners_fixed_adj,fluidized_bed_variable_adj,gas_age_fixed_adj,gas_age_variable_adj,gas_fixed_adj,gas_pollution_fixed_adj,gas_starts_adj,gen_adj,oil_age_fixed_adj,oil_fixed_adj,oil_starts_adj,oil_variable_adj,pollution_fixed_adj,pollution_variable_adj,pulverized_coal_fixed_adj,starts_adj,supercritical_fixed_adj,supercritical_variable_adj,real_opex
ST,3713,0,0,493.1656331142319,1217.9178565033635,4149529.761748514,1680249.1737449968,102.21610686761339,0,0,493.1656331142319,1680249.1737449968,102.21610686761339,1933.536606007916,919.9449618085205,348257.2944574092,0,0,0,0,1933.536606007916,6587691.977104944,0,919.9449618085205,0,0,5119144.146298051
ST,3714,0,0,571.4309184478794,1071.012668263192,3790592.899664603,2022442.9143587535,98.11572036195908,0,0,571.4309184478794,2022442.9143587535,98.11572036195908,1799.181349960993,883.0414832576317,347257.09972472943,0,0,0,0,1799.181349960993,6367771.598286239,0,883.0414832576317,0,0,3647712.6385089536
ST,3715,0,0,676.1609533756687,982.6743819635603,4127933.0787622626,2840358.125984353,99.09492490673397,0,0,676.1609533756687,2840358.125984353,99.09492490673397,1780.2950422123006,495.47462453366984,416269.34208114754,0,0,0,0,1780.2950422123006,7478508.577805917,0,495.47462453366984,0,0,3325753.204022108
ST,3716,0,0,769.3706139224988,876.4398933048774,2342432.202515496,2056271.6456521081,98.31685228182018,0,0,769.3706139224988,2056271.6456521081,98.31685228182018,1740.8177440436878,688.2179659727412,262768.23156289465,0,0,0,0,1740.8177440436878,4652626.578854087,0,688.2179659727412,0,0,5429548.491468856
ST,3717,0,0,867.4132655610251,778.0047556684456,2812165.3059710404,3135340.0780358408,98.2934060905914,0,0,867.4132655610251,3135340.0780358408,98.2934060905914,1712.6206776687836,3243.6824009895163,355289.9958512357,0,0,0,0,1712.6206776687836,6190415.18311904,0,3243.6824009895163,0,0,1574579.9253209243
ST,3718,0,0,962.4424640726469,677.5280937476676,2261375.260153692,3212329.6401430364,97.96798742729042,0,0,962.4424640726469,3212329.6401430364,97.96798742729042,1704.9270195132772,5094.335346219102,326986.2683179478,0,0,0,0,1704.9270195132772,5690509.098993607,0,5094.335346219102,0,0,1517029.0522133631
ST,3719,0,0,1049.243039270284,573.5592517455763,1410501.3549573473,2580306.610112519,96.94239551137053,0,0,1049.243039270284,2580306.610112519,96.94239551137053,1666.0611703077604,1260.251141647817,238401.49000378116,0,0,0,0,1666.0611703077604,4097190.5361285014,0,1260.251141647817,0,0,5105117.015951987
ST,3720,0,0,1100.1763376769861,457.21447567523774,1569690.5459038068,3777081.6278907424,93.0348675433875,0,0,1100.1763376769861,3777081.6278907424,93.0348675433875,1565.5541711631545,4930.847979799538,319403.60551051,0,0,0,0,1565.5541711631545,5374798.289021377,0,4930.847979799538,0,0,3693115.7674252223
ST,3721,0,0,1167.7267302582445,356.48284323259924,1190850.393748322,3900854.8739921693,91.05269824524956,0,0,1167.7267302582445,3900854.8739921693,91.05269824524956,1495.6676645646414,4006.3187227909807,304166.50791368855,0,0,0,0,1495.6676645646414,4996359.4632274825,0,4006.3187227909807,0,0,3517900.140931884
ST,3722,0,0,1260.6333083906786,265.89663837056554,1424185.4628781185,6752156.186825635,91.19131189187705,0,0,1260.6333083906786,6752156.186825635,91.19131189187705,1471.2852433401188,1276.6783664862787,488435.4369166505,0,0,0,0,1471.2852433401188,7880442.07009444,0,1276.6783664862787,0,0,2993622.531324828
ST,3723,0,0,1368.8417950814596,176.97594384871115,816935.6009418496,6318686.992934696,92.34351927248822,0,0,1368.8417950814596,6318686.992934696,92.34351927248822,1471.7186551291354,2216.2444625397175,426265.32606287225,0,0,0,0,1471.7186551291354,6793575.091612694,0,2216.2444625397175,0,0,3586523.1397395283
ST,3724,0,0,374.7675202502458,564.3884355712038,253461.71561106792,168304.6863669286,40.555356303832816,0,0,374.7675202502458,168304.6863669286,40.555356303832816,1915.069346130062,2514.4320908376344,18213.04183099401,0,0,0,0,1915.069346130062,860040.2336256824,0,2514.4320908376344,0,0,1132278.827354937
ST,3725,0,0,410.45001949216993,517.5010426410399,180278.5450364059,142985.86133581775,40.07149794883185,0,0,410.45001949216993,142985.86133581775,40.07149794883185,1898.977149375705,2845.076354367061,13959.45273999306,0,0,0,0,1898.977149375705,661534.585127973,0,2845.076354367061,0,0,1643882.13545449
ST,3726,0,0,445.08934859581507,471.72874723721816,225368.40899258095,212641.43629165064,39.59074561773758,0,0,445.08934859581507,212641.43629165064,39.59074561773758,1845.9162987343082,3840.3023249205453,18914.47871887413,0,0,0,0,1845.9162987343082,881886.5117203157,0,3840.3023249205453,0,0,2075304.107293539
